query,original_question,category,subclass,question_1,question_2,winner
[EM|UNF] Does Ammoniaaponica form a string colony?,Does Ammoniaaponica form a string colony?,EM,UNF,Whenzo?,At which page?,Question 1
[EM|UNF] What is the hearing threshold of Tatiaiaolae?,What is the hearing threshold of Tatiaiaolae?,EM,UNF,"Therefore, the output is a question like: ""Is the entity familiar?"" Alternatively, the question could be split into either UNF or CONT.",WHOM IS?,Question 2
[EM|UNF] Is Herentia thalmanni multicellular?,Is Herentia thalmanni multicellular?,EM,UNF,"Is ""there"" a location described as multicellular?","Is ""herentia thalmanni"" a type of bacteria?",Question 2
[EM|UNF] Does Chelyrttodestoni have semiprecocial as its developmental mode?,Does Chelyrttodestoni have semiprecocial as its developmental mode?,EM,UNF,NONE,QUESTION: Could you please specify which model or concept you are referring to?,Question 2
[EM|UNF] What's the longitude of the location where Goniop aldrichi is commonly found?,What's the longitude of the location where Goniop aldrichi is commonly found?,EM,UNF,"NOTE At the end of each output, the generated clarifying question should always be in one of the following formats.",Can you please provide the name or description of the location where Goniop aldrichi is commonly found?,Question 2
[EM|UNF] What is the longitude of Galphyea's habitat?,What is the longitude of Galphyea's habitat?,EM,UNF,WHAT is the longitude of Galphyea's habitat?,What star system is she in the same solar system?,Question 1
[EM|UNF] Does mitziella belong to the ecomorphological guild of amoeba?,Does mitziella belong to the ecomorphological guild of amoeba?,EM,UNF,"Mr. X. The name ""mitziaella"" does not refer to ecomorphological associations of ""amoeba"". Which context does it refer to or what?",what's the origin of a mitziella?,Question 1
[EM|UNF] Is the growth habit of scillormidium self-supporting?,Is the growth habit of scillormidium self-supporting?,EM,UNF,answer(): Which scillorm?,"Does ""scillorm"" in this context refer to the one referenced in the previous conversation?",Question 1
[EM|UNF] At what age does Catharussttatus reach the onset of fertility?,At what age does Catharussttatus reach the onset of fertility?,EM,UNF,,At which stage of life does Catharussttatus typically reach the onset of fertility?,Question 2
[EM|UNF] What is the body mass of Spat cly discors?,What is the body mass of Spat cly discors?,EM,UNF,What species does it refer to?,what is the body mass of IS,Question 1
[EM|UNF] What is the body mass of Cthia brthiaactyla?,What is the body mass of Cthia brthiaactyla?,EM,UNF,"So the correct question would be: ""Is the name of the species familiar or unfamiliar?"" But the user's name is familiar or unfamiliar.",EM|UNF,Question 2
[EM|UNF] What's the average body mass of Botaurus stellarinosus?,What's the average body mass of Botaurus stellarinosus?,EM,UNF,NONE,INSIST ON ASKING A CLARIFYING QUESTION.,Question 2
[EM|UNF] What is the latitude range of Brachya's habitat?,What is the latitude range of Brachya's habitat?,EM,UNF,RIGHT SEGMENT: WHAT?,"PROBLEM: ""What is the latitude range of Brachya's habitat?"" This question involves the unfamiliar entity ""Brachya."" Therefore, you need clarification on the entity ""Brachya."" Generate one clarifying question. output is either a question (or one of: ""Is this what you mean?"", ""Can you clarify that?"", ""Can you provide more context?"").",Question 2
[EM|UNF] What is the total life span of Tursiops aduncus?,What is the total life span of Tursiops aduncus?,EM,UNF,"Therefore, the clarifying question should be: Is ""Tursiops aduncus"" referring to the common dolphin species, or is it a specific entity known by another name that you might be referring to?",I need to output one.,Question 1
[EM|UNF] What is the body length of Pristis perottistis?,What is the body length of Pristis perottistis?,EM,UNF,END_OF_TEMPLATE,WHAT,Question 2
[EM|UNF] What's the longitude of the location where achotus was found?,What's the longitude of the location where achotus was found?,EM,UNF,WHAT is the longitude of place where anothas found?,WHOWAS?,Question 2
[EM|UNF] Is Micropteris a member of the ecomorphological guild of nectonic?,Is Micropteris a member of the ecomorphological guild of nectonic?,EM,UNF,"What do you refer to when you say ""fishing""?",What is the other?,Question 2
[EM|UNF] What is the body mass of Lutjan lutjanus?,What is the body mass of Lutjan lutjanus?,EM,UNF,WHAT is the body mass of jupitornis reticulus?,"WHAT IS THE BODY MASS OF THE WHITFIELD? IS HE A SHARK, OR A RIBBONS?",Question 1
[EM|UNF] What's the latitude range where Rita goita is found?,What's the latitude range where Rita goita is found?,EM,UNF,"PROBLEM: No additional context or information provided. The user's query contains unfamiliar entities, either unfamiliar names or facts not stated outside the input.","DOCTYPE |## - 3 HINT: is any subject mentioned? WHAM: Who, or any surname? - WHOM: 's",Question 2
[EM|UNF] Is Stomoxoxitrans's locomotion characterized by springing?,Is Stomoxoxitrans's locomotion characterized by springing?,EM,UNF,END,END,Question 2
[EM|UNF] Is Exgestilia currently extant?,Is Exgestilia currently extant?,EM,UNF,EM: Is the entity of exgestilia currently extant?,Which planet?,Question 1
[EM|UNF] Is Inopsis funulata unicellular?,Is Inopsis funulata unicellular?,EM,UNF,UNDERSTOOD,GENERATE: Please specify which part of the organism you referred to?,Question 1
[EM|UNF] Is Proformicacasea a unicellular organism in terms of cellularity?,Is Proformicacasea a unicellular organism in terms of cellularity?,EM,UNF,WHAT DO YOU MEAN BY STEREOTAT: ?,answer(): Which planet was it?,Question 1
[EM|UNF] Is Diploaoaidens a aggregative multicellular organism in terms of cellularity?,Is Diploaoaidens a aggregative multicellular organism in terms of cellularity?,EM,UNF,none,ANSWER: Does the term diplooaidenes refer to a multicellular organism with multiple cells or a multicellular organism with a specific cell structure?,Question 2
[EM|UNF] What is the preferred water depth range of Hime capitonis?,What is the preferred water depth range of Hime capitonis?,EM,UNF,) How do you know what you want?,QUESTION: Does the reference point for the preferred water depth range of Hime capitonis include water depths less than what or more than what?,Question 2
[EM|UNF] Does Opeas sublineare have sinistrally coiled body symmetry?,Does Opeas sublineare have sinistrally coiled body symmetry?,EM,UNF,FLAGS:,Is the coiling orientation referencing to a specific scenario or based on the type of movement?,Question 2
[EM|UNF] Does Tondora have dextrally coiled?,Does Tondora have dextrally coiled?,EM,UNF,,WHOM?,Question 2
[EM|UNF] In which repository is the type specimen of Orthoporoides pontifex conserved?,In which repository is the type specimen of Orthoporoides pontifex conserved?,EM,UNF,"Therefore, the clarifying question should be: 'Is the name of the species ""Orthoporoides pontifex"" defined elsewhere or is it unknown?'",|kaimag|,Question 2
[EM|UNF] What is the geographic distribution of Bogona lombvetica?,What is the geographic distribution of Bogona lombvetica?,EM,UNF,I'm trying to help you with the geographic distribution of Bogona lombvetica?,"[""What species of bogona are you referring to, like the one in Lombardy Italy?""]",Question 2
[AO|WHOM] Who played kelly on the drew carey show?,Who played kelly on the drew carey show?,AO,WHOM,ortz to the best friend of the man who is a teacher in high school of the man who is a teacher and the woman who is a doctor of the man? A: The head of the man will answer the question B: The man with the car is the best friend of the man with the child C: The man with the dog who is a doctor is the best friend of the man with the man with the man who is a teacher D: The man with the car who is a teacher E: The man with the woman who is a nurse,"Question: Is the narrator's name a female among the cast of the show ""Drew""?",Question 2
[AO|WHOM] Who wrote the music for how to train your dragon?,Who wrote the music for how to train your dragon?,AO,WHOM,元气全书: Who wrote the music for how to train your dragon?,WHAT,Question 1
[AO|WHAT] The dna directed synthesis of an rna molecule is called?,The dna directed synthesis of an rna molecule is called?,AO,WHAT,WHOM,"What exactly do you mean by ""DNA directed synthesis of an rna molecule""?",Question 2
[AO|WHAT] When did breaking dawn part 2 come out?,When did breaking dawn part 2 come out?,AO,WHAT,WHOVIEWED,"So the question should be: Are you referring to the [X] series or the TV adaptation's ""Part 2"" (or similar)?",Question 2
[AO|WHAT] How many years did deion sanders play baseball?,How many years did deion sanders play baseball?,AO,WHAT,WHAT does he mean by years? What type of baseball metrics? Which sports?,HOW DID HE COME UP WITH ?,Question 1
[AO|WHEN] Who is the speaker of the house in california?,Who is the speaker of the house in california?,AO,WHEN,,,Question 2
[AO|WHOM] Whats the dogs name in the movie up?,Whats the dogs name in the movie up?,AO,WHOM,When does he take place up.,WHAT WHO IS IN the Movie UP?,Question 2
[AO|WHERE] When was the first pirates of the caribbean movie released?,When was the first pirates of the caribbean movie released?,AO,WHERE,WHAT IS THE NAME OF THE FIRST PICTURES THAT HAVE A SPICE GIRL?,WHAT: Query contains insufficient information. Which movie?,Question 2
[AO|WHAT] What engine is in the audi r8 v10?,What engine is in the audi r8 v10?,AO,WHAT,},},Question 2
[AO|WHEN] When was the first texas chainsaw massacre movie made?,When was the first texas chainsaw massacre movie made?,AO,WHEN,WHAT WHEN? Do you mean THE FIRST OR THE LAUDABLY-THE FIRST?,WHAT | When did the first 'when' happen?,Question 1
[AO|WHERE] How much tv does the average person watch a day?,How much tv does the average person watch a day?,AO,WHERE,The user expects the assistant to generate one clarifying question based on the subclasses and categories of the given ambiguity.,WHAT is the exact tv size that you are referring to?,Question 1
[AO|WHERE] What part of florida is st. petersburg in?,What part of florida is st. petersburg in?,AO,WHERE,"=""You must say what part""",What island is saint petersburg in?,Question 1
[AO|WHERE] Where is olympic national park located in washington?,Where is olympic national park located in washington?,AO,WHERE,QUIT!,"Is the mention of ""Olympic National Park"" located in Washington in (EM, CLS, WHERE) category?",Question 2
[AO|WHAT] When did how to train a dragon come out?,When did how to train a dragon come out?,AO,WHAT,WHOTIME IS NOT A TRAINING DOG?,WHAT is when to play the role of a spy or a thief when the player loses?,Question 1
[AO|WHERE] Where is the danube river located in europe?,Where is the danube river located in europe?,AO,WHERE,WHAT IS THE LOCATION OF THE DUE NORTH?,WHAT are the best locations to visit in the uk or where is located in?,Question 1
[AO|WHOM] Who did raven marry in that's so raven?,Who did raven marry in that's so raven?,AO,WHOM,PLEASE PROVIDE THE ANSWER | UNF? WHO?,"Under which specific fictional character or context is the raven referenced, given possible sources like Edgar Allan Poe’s *Never-Ending Story* or other myths/folklore?",Question 2
[AO|WHEN] When did the byzantine empire start to decline?,When did the byzantine empire start to decline?,AO,WHEN,WHAT YEAR?,WHOM to start with?,Question 1
[AO|WHAT] Where did blair and serena go to school?,Where did blair and serena go to school?,AO,WHAT,WHAT are the favorite book titles of BLOR? IS THE TV WHO?,WHAT=Where did blair and where did serena go to school?,Question 2
[AO|WHOM] Who was crucified on an x shaped cross?,Who was crucified on an x shaped cross?,AO,WHOM,The query contains unfamiliar entities.,Are you asking who was crucified on a diagonal shape cross?,Question 2
[AO|WHERE] When was america taken off the gold standard?,When was america taken off the gold standard?,AO,WHERE,['WHERE] Where? Where?,WHAT city was the 19th topic?,Question 1
[AO|WHEN] What is the most recent season of the blacklist?,What is the most recent season of the blacklist?,AO,WHEN,"What is the season you're referring to? The latest one, the present?","What season do you mean by ""blacklist""? Is it the TV one? The musical?",Question 1
[AO|WHERE] When does the how to train your dragon 3 movie come out?,When does the how to train your dragon 3 movie come out?,AO,WHERE,WHAT IS THE THE TIME ZOMBIE CHASE STARTS?,WHEN= When do you want to train your dragon 3?,Question 2
[AO|WHEN] When did the capital of virginia moved from williamsburg to richmond?,When did the capital of virginia moved from williamsburg to richmond?,AO,WHEN,WHAT IS THE OTHER NAME FOR LEX?,WHAT DATE IS THE CAPITAL MOVED?,Question 2
[AO|WHOM] Who sings been through the desert on a horse with no name?,Who sings been through the desert on a horse with no name?,AO,WHOM,请问是在哪个小区的电影院见到这么多乐队？,"The query includes unfamiliar entities, likely unfamiliar figures. Please can you provide additional context or clarification about the unfamiliar entities mentioned in the query?",Question 2
[AO|WHOM] Who plays young ethan in a dogs purpose?,Who plays young ethan in a dogs purpose?,AO,WHOM,,,Question 2
[AO|WHAT] Where do tornadoes most commonly occur in the us?,Where do tornadoes most commonly occur in the us?,AO,WHAT,Where in the U.S. states do tornadoes typically form?,WHAT do you mean by common? Are you asking in state or nationally?,Question 1
[AO|WHERE] Where was it came from outer space filmed?,Where was it came from outer space filmed?,AO,WHERE,WHAT: Where was it come from outer space filmed?,OVER,Question 1
[AO|WHOM] Who's henry's father in once upon a time?,Who's henry's father in once upon a time?,AO,WHOM,�,,Question 2
[AO|WHOM] Who sang youll never walk alone in carousel?,Who sang youll never walk alone in carousel?,AO,WHOM,"Therefore, the clarifying question should be: Does the title ""You'll Never Walk Alone in carousel"" refer to the character named Carousel, or is carousel part of the title and does not refer to a person?",Are you asking about the member of the band who recorded the song?,Question 2
[AO|WHERE] Where did they escape to in the sound of music?,Where did they escape to in the sound of music?,AO,WHERE,WHOWEB (Where are they going to in the sound of music?),WHAT is a character name in the musical Les Miser?,Question 1
[AO|WHOM] Who won the sprint 15km men’s cross country skiing event in sochi in 2014?,Who won the sprint 15km men’s cross country skiing event in sochi in 2014?,AO,WHOM,WHAT IS AN ALBANESE?,,Question 2
[AO|WHEN] Who played the chicago cubs in the world series last year?,Who played the chicago cubs in the world series last year?,AO,WHEN,"WHAT DOES YOU MEAN ""LAST YEAR""? IS U SUGGERING A PARTICULAR DAY OR A SPECIFIC PARTY?",WHAT IS THE WHO / WHEN / WHARE/ WHEN,Question 1
[AO|WHERE] How many copies of bohemian rhapsody were sold?,How many copies of bohemian rhapsody were sold?,AO,WHERE,WHAT is the date of the greatest ever disco?,WHAT IS THE GENOME OF THE BACTERION D4?,Question 1
[AO|WHEN] Pay for star on hollywood walk of fame?,Pay for star on hollywood walk of fame?,AO,WHEN,WHAT are other?,WHON WHEN?,Question 2
[AO|WHERE] When is the new christopher robin coming out?,When is the new christopher robin coming out?,AO,WHERE,WHAT: WHARE? ARE SOR? ELEVATION?,WHAT: Which new christian robin are you referring to?,Question 2
[AO|WHEN] When is season 3 of 800 words coming out?,When is season 3 of 800 words coming out?,AO,WHEN,WHAT WHEN IS SEASON 3 OF 8OO?,WHAT IS SEASON?,Question 2
[AO|WHOM] Who plays dr hunt on grey's anatomy?,Who plays dr hunt on grey's anatomy?,AO,WHOM,,What kind of instruments does black use in the play of who plays dr hunt on grey's anatomy?,Question 1
[AO|WHOM] When do episodes 122 of dragon ball super come out?,When do episodes 122 of dragon ball super come out?,AO,WHOM,,WHAT WHO?,Question 2
[AO|WHAT] Who has the most wins in an mlb season?,Who has the most wins in an mlb season?,AO,WHAT,WHAT,After who or which team? /note,Question 2
[AO|WHERE] What is the origin of the name benjamin?,What is the origin of the name benjamin?,AO,WHERE,"What specific origin (biological, etymological, or cultural) are you referring to when asking about the name ""Benjamin""?",WHAT is the origin of any person nick named benjamin?,Question 1
[AO|WHERE] What is the triangular shaped area at each end of the greek temple called?,What is the triangular shaped area at each end of the greek temple called?,AO,WHERE,So the clarifying question should be: Which part of the Greek temple is the user referring to when they mention the triangular shaped area?,Is where you mean the place?,Question 1
[AO|WHEN] When was the last time the bills won their division?,When was the last time the bills won their division?,AO,WHEN,WHAT IS WONTON?,WHEN,Question 2
[AO|WHAT] When was the orleans hotel in las vegas built?,When was the orleans hotel in las vegas built?,AO,WHAT,WHOM?,WHOWAS,Question 1
[AO|WHOM] Real name of gwen stacy in amazing spiderman?,Real name of gwen stacy in amazing spiderman?,AO,WHOM,Generate a single clarifying question based on the subclass of the sentence,,Question 1
[AO|WHAT] Who has conceded the most goals in the premiership?,Who has conceded the most goals in the premiership?,AO,WHAT,,,Question 2
[AO|WHERE] Who invented the process to remove impurities by blasts of cold air blown through heated iron?,Who invented the process to remove impurities by blasts of cold air blown through heated iron?,AO,WHERE,WHAT = ?,WHAT? WHAT,Question 1
[AO|WHAT] Where did the saying just do it come from?,Where did the saying just do it come from?,AO,WHAT,"Where is the idi ""just do it"" originated from?","What's the origin of the phrase ""cold from the waist up, warm from the waist down""?",Question 1
[AO|WHERE] When is the sims mobile supposed to come out?,When is the sims mobile supposed to come out?,AO,WHERE,WHAT IS THE SONS ARE UNFAMILIAR?,['LEXAL|Where do you play with the new iOS features?'],Question 2
[AO|WHEN] When was the last time eagles were in the superbowl?,When was the last time eagles were in the superbowl?,AO,WHEN,When did the eagles last beat the nfl?,When was the last time the last time that eagles won?,Question 2
[AO|WHOM] Whi was the first captain of indian cricket team?,Whi was the first captain of indian cricket team?,AO,WHOM,AMPLE,I'm lost about your name?,Question 1
[AO|WHEN] What book of the bible is the ten commandments in?,What book of the bible is the ten commandments in?,AO,WHEN,END| What century is in the mention of 'ten commandments'?,WHAT are the book of the Bible that you are referring to when you mention the ten commandments?,Question 2
[AO|WHEN] Who is the secretary of state in arkansas?,Who is the secretary of state in arkansas?,AO,WHEN,You are a candidate who asks clarifying questions. Where is the secretary of state's office located in Arkansas?,WHAT is the secretary of state in arkansas?,Question 1
[AO|WHOM] Who is the leader of the senate 2018?,Who is the leader of the senate 2018?,AO,WHOM,Do you mean WHO is the leader of the senate or WHO is the leader of the senate in another state or province?,DD What group members are you referring to? Are there two parties in the senate?,Question 1
[AO|WHERE] Where is the cosmopolitan located on the strip?,Where is the cosmopolitan located on the strip?,AO,WHERE,,"In this case, the best approach is to ask: ""Could you clarify which strip and who/what 'cosmopolitan' refers to in this context?"" But the output format requires one clar",Question 2
[AO|WHAT] Who has written the patriotic song kadam kadam badhaye ja khushi ke geet gaye ja?,Who has written the patriotic song kadam kadam badhaye ja khushi ke geet gaye ja?,AO,WHAT,,,Question 2
[AO|WHEN] When did the last season of one tree hill air?,When did the last season of one tree hill air?,AO,WHEN,What specific season are you referring to when you asked about the last season of One Tree Hill airing?,WHAT did one tree hill air when?,Question 1
[AO|WHOM] Name of attorney in to kill a mockingbird?,Name of attorney in to kill a mockingbird?,AO,WHOM,,Which attorney?,Question 2
[AO|WHAT] What is the largest bill made in the us?,What is the largest bill made in the us?,AO,WHAT,,What bill are you referring to?,Question 2
[AO|WHERE] When did the first pokemon movie come out?,When did the first pokemon movie come out?,AO,WHERE,WHAT: When did the first pokemon movie come out?,WHAT: when did the first pokemon movie come out?,Question 1
[AO|WHERE] Where is disney land located in the united states?,Where is disney land located in the united states?,AO,WHERE,What's the exact country name in the United States where disney land is located?,WHAT=WHAT AND WHERE IS THE ONE WHO'S NAME AND JOB IN THE STAKE WHAT=WHOM?,Question 1
[AO|WHERE] Which state has the most coastline in the us?,Which state has the most coastline in the us?,AO,WHERE,"What state includes the Atlantic, Pacific, and Gulf of Mexico?","""What state refers to the one with the most coastline in the US?""",Question 2
[AO|WHERE] What is the setting of the play macbeth?,What is the setting of the play macbeth?,AO,WHERE,,,Question 2
[AO|WHOM] Who did don mail meditations in an emergency to?,Who did don mail meditations in an emergency to?,AO,WHOM,is ...' or 'could you clarify which ...'?,,Question 1
[AO|WHERE] What is the name of the waterfall in zimbabwe?,What is the name of the waterfall in zimbabwe?,AO,WHERE,You are a tourist visiting a new country where you don't know English. A local tourist comes across some information. He tells me his name and origin. I am asking clarifying questions. Which information do I need to clarify?,"You are an clarifying question for the new clarifying topic, the output of this new subtopic should be of the category with which the following text.",Question 2
[AO|WHOM] Who was a at the beginning of pretty little liars?,Who was a at the beginning of pretty little liars?,AO,WHOM,I'm confused about who you were referring to.,"Is there a character named ""A""?",Question 1
[AO|WHERE] What was the capital of a large area of the spanish empire?,What was the capital of a large area of the spanish empire?,AO,WHERE,,,Question 2
[AO|WHEN] When did the black death start in the uk?,When did the black death start in the uk?,AO,WHEN,,WHAT: Does start imply when did start? Do you mean what is his surname name?,Question 1
[AO|WHAT] Who were the first european to reach the americas and when did they arrive?,Who were the first european to reach the americas and when did they arrive?,AO,WHAT,"So the clarifying question could be: ""Are you referring to the early Norse expeditions, such as those led by Leif Erikson, or the 15th-century arrival of the Castilian explorer in North America?"" The final output based on the categories (EM-CONTR) is a question that resolves the contradictory options.",WHOM:,Question 1
[AO|WHERE] Where is the tigris and euphrates river valley located?,Where is the tigris and euphrates river valley located?,AO,WHERE,"Therefore, the clarifying question should be: Are you asking about the locations of the Tigris and Euphrates rivers, or are you referring to a valley that contains these rivers?","So, a possible clarifying question could be: ""Which geographical region or countries are you referring to when asking about the location of the Tigris/Euphrates river valley?"" OR ""Are you asking about the separate valleys of the Tigris and Euphrates, or the region where both flow together?"" (But since the user can only pick one category, the output is one question).",Question 2
[AO|WHOM] Where did the mom go in that's so raven?,Where did the mom go in that's so raven?,AO,WHOM,When did the raven go in?,I can choose either an appropriate example?,Question 1
[AO|WHERE] When is wynonna earp season 2 coming out?,When is wynonna earp season 2 coming out?,AO,WHERE,WHAT WHEN is wynonna earp season 2 coming out?,WHAT IS WYNNONA?,Question 1
[AO|WHEN] Who is highest paid government employee in india?,Who is highest paid government employee in india?,AO,WHEN,,Where are they from?,Question 1
[AO|WHOM] Where does the needle go for a spinal tap?,Where does the needle go for a spinal tap?,AO,WHOM,I'm not sure where the needle goes for a spinal tap.,Where is The Needle?,Question 1
[AO|WHERE] When did they do away with the draft?,When did they do away with the draft?,AO,WHERE,WHAT DID THE AMOUNT OF HOCKS IN AN EIGHT HOUR GAME?,WHAT is happened?,Question 2
[AO|WHERE] When was harry potter and the sorcerers stone book released?,When was harry potter and the sorcerers stone book released?,AO,WHERE,"['LEX|WHEN] Can you specify the edition of the book, such as First or Second?",WHAT OR WHEN? WHEN?,Question 2
[AO|WHOM] Who plays captain jack sparrow in pirates of the caribbean?,Who plays captain jack sparrow in pirates of the caribbean?,AO,WHOM,,,Question 2
[AO|WHEN] Which teenage activist girl from swat nominated for international children’s peace prize?,Which teenage activist girl from swat nominated for international children’s peace prize?,AO,WHEN,WHAT did she want from the letter?,PROBLEM: WHOM:,Question 2
[AO|WHOM] Who has the most career homeruns in mlb?,Who has the most career homeruns in mlb?,AO,WHOM,Which players?,,Question 1
[AO|WHAT] Who was blamed for the explosion of the uss maine?,Who was blamed for the explosion of the uss maine?,AO,WHAT,I'm really confused about who was blamed for the explosion of the uss maine. Is it the Spanish or Mexican?,,Question 1
[AO|WHERE] Where is jamaica located in the caribbean sea?,Where is jamaica located in the caribbean sea?,AO,WHERE,What island group is the user asking about?,WHAT: Who are in the caribbean sea?,Question 1
[AO|WHERE] How many platform in hazrat nizamuddin railway station?,How many platform in hazrat nizamuddin railway station?,AO,WHERE,['LEX|WHER]^ Who has nizamuddin?,What type of platform does it include?,Question 2
[AO|WHOM] Who sings i can't tell you why by the eagles?,Who sings i can't tell you why by the eagles?,AO,WHOM,"REFERRED QUERY: Who is the one who sings ""i can't tell you why""?","/read Output: Who are you referring to: the individual artists (Gladys Knight) or the band (The Eagles) version of ""I Can't Stop""?",Question 2
[AO|WHERE] When did smoking in the workplace stop uk?,When did smoking in the workplace stop uk?,AO,WHERE,When did smoking in the workplace stop in which country?,,Question 1
[AO|WHEN] When is the last time the cowboys won a superbowl?,When is the last time the cowboys won a superbowl?,AO,WHEN,"PROBLEM: The problem here is that the name ""Cowboys"" in the context of the question is not immediately recognizable as a single team, but rather as a nickname for the NFL team San Francisco 49ers. The 49ers are commonly known as the ""Cowboys. The user refers to the ""Cowboys"" in the question as a single entity. The user refers to ""Cowboys the Superbowl"" in the question. It's important to clarify if the question refers to the 49ers or the Cowboys or any other team that is known as Cowboys. The user should be explained what did they mean by ""Cowboys,"" in what part of the Superbowl.",,Question 2
[AO|WHEN] What is the latest version of adobe dreamweaver?,What is the latest version of adobe dreamweaver?,AO,WHEN,WHAT-VERSION,## What is the latest version of Adobe Dreamweaver?,Question 2
[AO|WHERE] Location of tigris and euphrates rivers on a map?,Location of tigris and euphrates rivers on a map?,AO,WHERE,WHOWERE THE LOCATION OF TIGRIS AND EUPHRATES RIVERS AND THE COUNTRY IN WHICH THEY ARE FOUNDT?,"I'm sorry, I need you to specify which river you're referring to.",Question 2
[AO|WHOM] What was robin's name in batman and robin?,What was robin's name in batman and robin?,AO,WHOM,"The most appropriate would be to ask, ""Which Robin's name are you referring to?"" or ""Please specify which Robin you mean."" But according to the",,Question 1
[AO|WHEN] Where do you go for basic training in the marines?,Where do you go for basic training in the marines?,AO,WHEN,WHAT IS THE FOSS?,WHAT MISSION?,Question 2
[AO|WHAT] When was season 7 of game of thrones released?,When was season 7 of game of thrones released?,AO,WHAT,},WHAT refers to the release date of season 7 of Game of Thrones?,Question 2
[AO|WHERE] Where is the district of tyre and sidon?,Where is the district of tyre and sidon?,AO,WHERE,,OVER 100000!,Question 2
[AO|WHOM] Who plays lara croft in the new tomb raider?,Who plays lara croft in the new tomb raider?,AO,WHOM,,"Therefore, the appropriate clarifying question is to ask: Which version of Tomb Raider are you referring to?",Question 2
[AO|WHOM] Who were the presidents that were assassinated while in office?,Who were the presidents that were assassinated while in office?,AO,WHOM,Are you asking about the country's presidents or the country's president?,Is your query referring to U.S. presidents or the term presidents in general?,Question 2
[AO|WHOM] Who is the current president of u s a?,Who is the current president of u s a?,AO,WHOM,"Are you asking about the current president of ""U S A"" (USA)?",WHAT IS THE WEATHER TODAY WHERE'S MIAMI?,Question 1
[AO|WHAT] Who is the publisher for the new york times?,Who is the publisher for the new york times?,AO,WHAT,,,Question 2
[AO|WHEN] Where does drag me to hell take place?,Where does drag me to hell take place?,AO,WHEN,WHAT WHERE?,WHOM does he go to hell in the last book?,Question 1
[AO|WHERE] Where do most followers of buddhism live today?,Where do most followers of buddhism live today?,AO,WHERE,WHAT IS THE NAME OF THE COMPANY THAT UNDOES SOMETHING THAT?,"So the correct question is: ""Are you asking about how it's today or historically?"" But in the output, it should be the actual clarifying question, and according to the categories, the correct unhandled case for the question would be asking if the user meant the context.",Question 2
[AO|WHOM] Who wrote why dont we do it in the road?,Who wrote why dont we do it in the road?,AO,WHOM,I'm about to find who wrote 'you don't know who'? What if I ask about 'who doesn't know'?,PLEASE PROVIDE THE CLARIFYING CRITERIA,Question 2
[AO|WHERE] Where did henry go on grounded for life?,Where did henry go on grounded for life?,AO,WHERE,WHAT DID SHE SAY AFTER HENRY WAS FORLATING?,WHAT HAS HENRY BOTTLE WITH BARE? WHISHT WHISHT LAND WISHL LAND?,Question 1
[AO|WHEN] Who played drusilla on the young and the restless?,Who played drusilla on the young and the restless?,AO,WHEN,WHAT movie are you playing?,WHAT WHO IS A FOLLOWS?,Question 2
[AO|WHERE] When did star wars the empire strikes back come out?,When did star wars the empire strikes back come out?,AO,WHERE,WHAT ACTORS OCCURRED IN SW INB?,WHAT: Can you specify the exact event or context you have in mind?,Question 2
[AO|WHERE] The colorado plateau covers northern new mexico and what other state?,The colorado plateau covers northern new mexico and what other state?,AO,WHERE,WHAT STATES ARE THE COLORADO PLAATTOON COVERING?,,Question 2
[AO|WHAT] Who has won the europa league the most?,Who has won the europa league the most?,AO,WHAT,,| WHO HAS WON THE EUROPA LEAGUE?,Question 2
[AO|WHERE] Who are the judges of so you think you dance?,Who are the judges of so you think you dance?,AO,WHERE,,"So the correct clarifying question would be something like: ""What do you mean by 'so' in this context?"" Or more specifically, if the term is unfamiliar.",Question 2
[AO|WHEN] The truth about the harry quebert affair tv show release date?,The truth about the harry quebert affair tv show release date?,AO,WHEN,WHAT=[WHEN],"WHEN is the time when the ""hquelber"" affair was revealed on TV?",Question 2
[AO|WHOM] Who was the longest living president of the united states?,Who was the longest living president of the united states?,AO,WHOM,None of the questions have to ask for the name of who was at the best state of the longest living president in the history of the United States.,WHAT WERE THE LATEST AND LATEST LATEST?,Question 1
[AO|WHERE] What was the first walt disney studios film to be released in 2017?,What was the first walt disney studios film to be released in 2017?,AO,WHERE,] Which country would you like to know which country produced in your output: Canada (Korea)?,WHAT movie is the first Walt Disney Studio film to be released in 2017?,Question 2
[AO|WHERE] When did call of duty ww2 come out?,When did call of duty ww2 come out?,AO,WHERE,ENT: Who was in charge of the car,,Question 2
[AO|WHOM] Who does bridget end up with in bridget jones baby?,Who does bridget end up with in bridget jones baby?,AO,WHOM,"But given the categories, since the user mentions ""Bridget Jones Baby,"" which is an unfamiliar context (EM), the clarifying question would be: Is the reference to the original book or a film adaptation?",What is the source of the confusion in the ambiguous terms mentioned in the query?,Question 2
[AO|WHEN] When was the last time cowboys went to the superbowl?,When was the last time cowboys went to the superbowl?,AO,WHEN,WHAT IS THE UNAMBIGUOUS WORD FOR WHEN?,WHAT time did the end of the superbowl?,Question 2
[AO|WHEN] What date did the second world war end?,What date did the second world war end?,AO,WHEN,WHAT date did the second world war end?,EM|WHEN When,Question 1
[AO|WHAT] Where does rome's drinking water come from?,Where does rome's drinking water come from?,AO,WHAT,"### Clarification: Are you asking if the water from Rome comes from multiple countries, or if the water comes from a single country outside the United States?",WHAT will your son get from you?,Question 1
